lane_id,link_id,lane_num,allowed_uses,r_barrier,l_barrier,width
111,10,1,"WALK, BIKE",,,6
151,11,1,"WALK, BIKE",,,6
221,22,1,ALL,,,11
222,22,2,ALL,,,11
211,21,1,ALL,,,11
212,21,2,ALL,,,11
331,32,1,ALL,,,11
332,32,2,ALL,,,11
333,32,3,BIKE,physical,,5
311,31,1,ALL,,,11
312,31,2,ALL,,,11
315,31,3,BIKE,,,5
363,31,4,PARKING,,,8
441,41,1,ALL ,,,11
442,41,2,PARKING,,,8
461,42,1,ALL,,,11
462,42,2,PARKING,,,8
551,51,1,ALL,,,11
552,51,2,ALL,,,13
553,51,3,PARKING,,,8
561,52,1,ALL,,,11
562,52,2,ALL,,,11
563,52,3,PARKING,,,8
801,80,1,"WALK, BIKE",,,6
811,81,1,"WALK, BIKE",,,6
