mvmt_id,node_id,ib_link_id,start_ib_lane,end_ib_lane,ob_link_id,start_ob_lane,end_ob_lane,type,penalty,capacity,ctrl_type,opt_note
1,6,10,1,,32,3,,LEFT,,,signal,MM Bikeway to Mass EB
2,6,10,1,,42,1,,THRU,,,signal,MM Bikeway to Pleasant SB
3,6,10,1,,51,2,,RIGHT,,,signal,MM Bikeway to Mass WB
4,6,21,-1,,32,1,2,LEFT,,,signal,Mystic to Mass EB
5,6,21,1,,42,1,,THRU,,,signal,Mystic to Pleasant'
6,6,21,2,,51,1,2,RIGHT,,,signal,Mystic to Mass WB
7,6,31,-1,,42,1,,LEFT,,,signal,Mass WB to Pleasant
8,6,31,1,2,51,1,2,THRU,,,signal,Mass WB thru
10,6,31,3,,22,1,2,RIGHT,,,signal,Mass WB to Mystic
11,6,31,4,,51,2,,THRU,,,signal,Mass WB thru (bike)
12,6,31,4,,11,1,,THRU,,,signal,Mass WB to MM Bikeway
13,6,41,-1,,51,1,2,LEFT,,,signal,Pleasant to Mass WB
14,6,41,-1,,11,1,,LEFT,,,signal,Pleasant to MM Bikeway
15,6,41,1,,22,1,2,THRU,,,signal,Pleasant to Mystic
16,6,41,2,,32,1,2,RIGHT,,,signal,Pleasant to Mass EB
17,6,52,-1,,22,1,2,LEFT,,,signal,Mass EB to Mystic
18,6,52,1,2,32,1,2,THRU,,,signal,Mass EB thru
19,6,52,2,,32,3,,THRU,,,signal,Mass EB Thru bike
20,6,52,3,,42,1,,RIGHT,,,signal,Mass EB to Pleasant
21,7,32,1,2,72,1,2,THRU,,,signal,Mass EB at Swan Place
22,7,32,3,,72,2,2,THRU,,,signal,Mass EB Bike
23,7,32,3,,81,1,1,RIGHT,,,signal,Mass EB to Minuteman SB
24,7,81,1,,31,3,,LEFT,,,signal,MM to Mass WB at Swan
25,7,81,1,,72,2,,RIGHT,,,signal,MM to Mass EB at Swan
26,7,71,1,2,31,1,2,THRU,,,signal,Mass WB at Swan
27,7,71,2,,31,3,3,THRU,,,signal,Mass WB at Swan (Bike)
28,7,71,1,,80,1,,LEFT,,,signal,Mass WB to Minuteman SB
