timing_phase_id,timing_plan_id,signal_phase_num,min_green,max_green,extension,clearance,walk_time,ped_clearance,ring,barrier,position,opt_comment
2,0,2,8,30,3,7,7,20,1,1,1,Mass EB thru
5,0,5,6,16,3,7,,,2,1,1,Mass EB left
1,0,1,6,16,3,7,,,1,1,2,Mass WB left
6,0,6,8,31,3,7,7,18,2,1,2,Mass WB thru
3,0,3,6,14,3,7,,,1,2,1,Pleasant NB left
7,0,7,6,31,3,7,,,2,2,1,Mystic SB left
4,0,4,8,40,3,7,7,25,1,2,2,Mystic SB thru
8,0,8,8,35,3,7,7,23,2,2,2,Pleasant NB thru
12,0,2,70,70,,7,,,1,1,1,Mass @ Swan EB
16,0,6,70,70,,,,,2,1,1,Mass @ Swan WB
19,0,9,24,24,,7,10,19,1,2,1,Swan to Mass
14,1,1,16,16,3,7,,,1,1,1,Mass EB thru
12,1,2,30,30,3,7,7,20,2,1,1,Mass EB left
16,1,3,6,6,3,7,,,1,1,2,Mass WB left
18,1,4,40,40,3,7,7,25,2,1,2,Mass WB thru
13,1,5,15,15,3,7,,,1,2,1,Pleasant NB left
15,1,6,31,31,3,7,7,18,2,2,1,Mystic SB left
17,1,7,14,14,3,7,,,1,2,2,Mystic SB thru
19,1,8,32,32,3,7,7,23,2,2,2,Pleasant NB thru
20,1,2,80,80,,7,,,1,1,1,Mass @ Swan EB
21,1,6,80,80,,7,,,2,1,1,Mass @ Swan WB
22,1,9,24,24,,8,10,19,1,2,1,Swan to Mass
25,2,1,12,12,3,7,,,1,1,1,Mass EB thru
23,2,2,29,29,3,7,7,20,2,1,1,Mass EB left
27,2,3,14,14,3,7,,,1,1,2,Mass WB left
29,2,4,37,37,3,7,7,25,2,1,2,Mass WB thru
24,2,5,16,16,3,7,,,1,2,1,Pleasant NB left
26,2,6,25,25,3,7,7,18,2,2,1,Mystic SB left
28,2,7,16,16,3,7,,,1,2,2,Mystic SB thru
30,2,8,35,35,3,7,7,23,2,2,2,Pleasant NB thru
31,2,2,80,80,,7,,,1,1,1,Mass @ Swan EB
32,2,6,80,80,,7,,,2,1,1,Mass @ Swan WB
33,2,9,24,24,,8,10,19,1,2,1,Swan to Mass
36,3,1,13,13,3,7,,,1,1,1,Mass EB thru
34,3,2,27,27,3,7,7,20,2,1,1,Mass EB left
38,3,3,10,10,3,7,,,1,1,2,Mass WB left
40,3,4,32,32,3,7,7,25,2,1,2,Mass WB thru
35,3,5,15,15,3,7,,,1,2,1,Pleasant NB left
37,3,6,25,25,3,7,7,18,2,2,1,Mystic SB left
39,3,7,8,8,3,7,,,1,2,2,Mystic SB thru
41,3,8,34,34,3,7,7,23,2,2,2,Pleasant NB thru
42,3,2,70,70,,7,,,1,1,1,Mass @ Swan EB
43,3,6,70,70,,7,,,2,1,1,Mass @ Swan WB
44,3,9,24,24,,8,10,19,1,2,1,Swan to Mass
