seg_lane_id,link_id,segment_id,parent_lane,lane_num,allowed_uses,r_barrier,l_barrier,width,notes
1122011,1122,112201,,-1,ALL,,,,EB LT pocket
11220202,1122,112202,,2,ALL,,,,EB RT Pocket
11220203,1122,112202,1122002,3,BIKE,,,,EB Bike Lane during pocket
2211011,2211,221101,,-1,ALL,,,,WB LT Pocket @ node 11
2211021,2211,221102,,-1,ALL,,,,"WB LT Pocket (mid-block to parking garage, associated w/ Location #3)"
3110102,311,31101,,2,ALL,,,,Broadway EB (Galileo to Ames)  RT pocket
3110103,311,31101,311002,3,BIKE,,,,Broadway EB (Galileo to Ames) bike lane during pocket
113011,113,11301,,-1,ALL,,,,Broadway WB LT pocket
711011,711,71101,,-1,ALL,,,,Ames NB LT pocket
117012,117,11701,,2,ALL,,,,Ames SB RT pocket
