geometry_id,geometry
578653,"LINESTRING (-71.216627266 42.477689792,-71.216978361 42.4776525730001,-71.2171833199999 42.477655407,-71.217419691 42.477688675,-71.21760239 42.47773347,-71.217737218 42.477773106,-71.217863692 42.477834489,-71.218197614 42.478039026,-71.2186637299999 42.478313519,-71.218911294 42.4784337030001,-71.219170521 42.4785240370001,-71.219585572 42.478610465,-71.220433135 42.478740649,-71.2206521529999 42.4787967080001,-71.2208479829999 42.478874046,-71.2210608899999 42.479002704,-71.2212275649999 42.479152578,-71.221356984 42.479308879,-71.221855971 42.4799392190001,-71.222713689 42.481031124)"
578527,"LINESTRING (-71.220315167 42.476616565,-71.220067703 42.476689553,-71.2198705869999 42.476748075,-71.219258415 42.476929823,-71.218721643 42.4770825850001,-71.218331921 42.4771926430001,-71.2179121839999 42.477314275,-71.216627266 42.477689792)"
578608,"LINESTRING (-71.2095583349999 42.4796603510001,-71.2110646579999 42.4792135980001,-71.212324673 42.4788339180001,-71.215313893 42.4779433670001,-71.215313893 42.4779433670001,-71.215697227 42.4778291640001,-71.219779826 42.476611222)"
578761,"LINESTRING (-71.219577912 42.484209245,-71.219381879 42.48378754,-71.218079604 42.481975635,-71.2178801599999 42.4816999070001,-71.2174244249999 42.4810559100001,-71.217353741 42.4809485100001,-71.217227469 42.4807694840001,-71.216411751 42.479618063,-71.21604055 42.47908665)"
578556,"LINESTRING (-71.2144389009999 42.478363384,-71.2153934149999 42.478069577,-71.2153934149999 42.478069577,-71.216627266 42.477689792)"
578570,"LINESTRING (-71.21604055 42.47908665,-71.2153934149999 42.478069577, -71.2153934149999 42.478069577,-71.215313893 42.4779433670001, -71.215313893 42.4779433670001,-71.215203649 42.477768401)"
578571,"LINESTRING (-71.212295592 42.4789879160001,-71.2144389009999 42.478363384)"
578597,"LINESTRING (-71.21604055 42.47908665,-71.215775631 42.479152034,-71.2157107099999 42.4791518740001,-71.215651663 42.479158281,-71.2154951 42.479192848,-71.215385784 42.4792209770001,-71.215235647 42.479267556,-71.215232113 42.4792686530001,-71.215229501 42.4792697820001,-71.215131583 42.4793120960001,-71.2149719499999 42.479372862,-71.214830075 42.4794227530001,-71.214708941 42.4794530360001,-71.21460854 42.479468082,-71.214525889 42.4794722460001,-71.214393128 42.4794631780001,-71.21428402 42.4794454330001,-71.214204465 42.479419024,-71.214122013 42.479379497,-71.2140572439999 42.4793443840001,-71.213990842 42.4792932660001,-71.213931223 42.479227759,-71.213884245 42.479155276,-71.213846775 42.479073478,-71.213828211 42.4789940630001,-71.213831754 42.478907699,-71.2138479179999 42.4788213690001,-71.213883 42.4787350830001,-71.2139717909999 42.4786255880001,-71.2141173649999 42.478513901,-71.2144389009999 42.478363384)"
578607,"LINESTRING (-71.212295592 42.4789879160001,-71.211710121 42.4791562680001,-71.211335073 42.479265051,-71.2110384219999 42.479351518,-71.210713578 42.479439159,-71.210524139 42.479487702,-71.210265253 42.479550079,-71.2095583349999 42.4796603510001)"
578600,"LINESTRING (-71.212295592 42.4789879160001,-71.212589108 42.4789372910001,-71.212690053 42.4789305360001,-71.2127689 42.4789284010001,-71.212863469 42.4789379750001,-71.2129926549999 42.4789616370001,-71.213115488 42.4789969610001,-71.2132476949999 42.4790509800001,-71.2139185939999 42.479377835,-71.214135347 42.479477966,-71.214197755 42.479502315,-71.214252975 42.479520456,-71.214311822 42.479533545,-71.214386846 42.4795483560001,-71.214510737 42.479559587,-71.214637653 42.4795555330001,-71.214847333 42.4795210990001,-71.215256653 42.4794334640001,-71.215260883 42.479432558,-71.215265371 42.479431381,-71.2154614459999 42.479379968,-71.215586088 42.4793420140001,-71.2156675379999 42.479315209,-71.215750747 42.4792782760001,-71.215815139 42.479242426,-71.21604055 42.47908665)"
