mvmt_id,node_id,name,ib_link_id,start_ib_lane,end_ib_lane,ob_link_id,start_ob_lane,end_ob_lane,type,penalty,capacity,ctrl_type,notes
1,13,,578761,-1,,578597,1,,left,,,signal,SB Left Turn
2,13,,578761,1,,578597,2,,left,,,signal,SB Left Turn
3,13,,578761,2,,5785709,1,,thru,,,signal,SB Thru
4,13,,578761,3,,5785709,2,,thru,,,signal,SB Thru
5,13,,578570,1,,5787619,1,,thru,,,signal,NB Thru
6,13,,578570,2,,5787619,2,,thru,,,signal,NB Thru
7,13,,578570,3,,5787619,3,,thru,,,signal,NB Thru
8,13,,578570,4,,578597,1,,right,,,yield,NB Right Turn
9,13,,578600,-1,,5785709,1,,left,,,signal,"From ramp, left turn"
10,13,,578600,1,,5785709,2,,left,,,signal,"From ramp, left turn"
11,13,,578600,2,,5787619,3,,right,,,yield,"From ramp, right turn"
12,5,,578556,1,,578527,1,,diverge,,,no_control,To I95 SB
13,5,,578556,2,,578653,1,,diverge,,,no_control,To US3
14,10,,578571,1,,578556,1,,thru,,,no_control,
15,10,,578597,1,,578556,2,,merge,,,yield,Ramp from N1344
16,11,,578607,1,,578571,1,,diverge,,,no_control,Continue to US3
17,11,,578607,2,,578600,1,,diverge,,,no_control,Off ramp
