timing_plan_id,cycle_length,controller_id,timeday_id,time_day
100000,188,100000,,11111111_0000_2359
100001,188,100001,,11111111_0000_2359
100003,226,100003,,11111111_0000_2359
100006,188,100006,,11111111_0000_2359
100010,188,100010,,11111111_0000_2359
100012,188,100012,,11111111_0000_2359
100013,188,100013,,11111111_0000_2359
100016,188,100016,,11111111_0000_2359
100026,186,100026,,11111111_0000_2359
100028,188,100028,,11111111_0000_2359
100029,188,100029,,11111111_0000_2359
100033,188,100033,,11111111_0000_2359
100034,188,100034,,11111111_0000_2359
100042,186,100042,,11111111_0000_2359
100045,188,100045,,11111111_0000_2359
100052,186,100052,,11111111_0000_2359
100056,188,100056,,11111111_0000_2359
100079,268,100079,,11111111_0000_2359
100081,190,100081,,11111111_0000_2359
100082,268,100082,,11111111_0000_2359
100083,190,100083,,11111111_0000_2359
100088,268,100088,,11111111_0000_2359
100091,190,100091,,11111111_0000_2359
100092,229,100092,,11111111_0000_2359
100097,268,100097,,11111111_0000_2359
100107,190,100107,,11111111_0000_2359
100108,229,100108,,11111111_0000_2359
100109,130,100109,,11111111_0000_2359
100113,229,100113,,11111111_0000_2359
100114,229,100114,,11111111_0000_2359
100115,268,100115,,11111111_0000_2359
100118,229,100118,,11111111_0000_2359
100119,190,100119,,11111111_0000_2359
100120,190,100120,,11111111_0000_2359
100123,229,100123,,11111111_0000_2359
100168,190,100168,,11111111_0000_2359
100171,268,100171,,11111111_0000_2359
100173,130,100173,,11111111_0000_2359
100176,260,100176,,11111111_0000_2359
100177,268,100177,,11111111_0000_2359
100204,190,100204,,11111111_0000_2359
100211,229,100211,,11111111_0000_2359
100219,190,100219,,11111111_0000_2359
100222,229,100222,,11111111_0000_2359
100225,190,100225,,11111111_0000_2359
100234,130,100234,,11111111_0000_2359
100240,229,100240,,11111111_0000_2359
100249,188,100249,,11111111_0000_2359
100287,260,100287,,11111111_0000_2359
100307,190,100307,,11111111_0000_2359
100500,190,100500,,11111111_0000_2359
100544,268,100544,,11111111_0000_2359
100547,268,100547,,11111111_0000_2359
100555,268,100555,,11111111_0000_2359
100557,268,100557,,11111111_0000_2359
100561,229,100561,,11111111_0000_2359
100566,190,100566,,11111111_0000_2359
100567,190,100567,,11111111_0000_2359
100572,268,100572,,11111111_0000_2359
100579,268,100579,,11111111_0000_2359
100581,190,100581,,11111111_0000_2359
100582,190,100582,,11111111_0000_2359
100584,190,100584,,11111111_0000_2359
100588,190,100588,,11111111_0000_2359
100589,190,100589,,11111111_0000_2359
100592,190,100592,,11111111_0000_2359
100593,190,100593,,11111111_0000_2359
100595,190,100595,,11111111_0000_2359
100596,190,100596,,11111111_0000_2359
100606,268,100606,,11111111_0000_2359
100614,268,100614,,11111111_0000_2359
100650,268,100650,,11111111_0000_2359
100653,190,100653,,11111111_0000_2359
100680,226,100680,,11111111_0000_2359
100690,226,100690,,11111111_0000_2359
100692,188,100692,,11111111_0000_2359
100693,188,100693,,11111111_0000_2359
100696,190,100696,,11111111_0000_2359
100714,268,100714,,11111111_0000_2359
100739,268,100739,,11111111_0000_2359
100745,190,100745,,11111111_0000_2359
100750,268,100750,,11111111_0000_2359
101757,229,101757,,11111111_0000_2359
101758,268,101758,,11111111_0000_2359
101760,268,101760,,11111111_0000_2359
101764,229,101764,,11111111_0000_2359
101765,229,101765,,11111111_0000_2359
101790,130,101790,,11111111_0000_2359
101793,130,101793,,11111111_0000_2359
101794,229,101794,,11111111_0000_2359
101795,190,101795,,11111111_0000_2359
101796,268,101796,,11111111_0000_2359
101800,268,101800,,11111111_0000_2359
101801,229,101801,,11111111_0000_2359
101804,229,101804,,11111111_0000_2359
101809,229,101809,,11111111_0000_2359
101811,268,101811,,11111111_0000_2359
101815,190,101815,,11111111_0000_2359
101821,268,101821,,11111111_0000_2359
101826,229,101826,,11111111_0000_2359
101830,229,101830,,11111111_0000_2359
101833,130,101833,,11111111_0000_2359
101834,268,101834,,11111111_0000_2359
101838,268,101838,,11111111_0000_2359
101841,190,101841,,11111111_0000_2359
101844,188,101844,,11111111_0000_2359
101845,264,101845,,11111111_0000_2359
101847,268,101847,,11111111_0000_2359
101848,190,101848,,11111111_0000_2359
101853,190,101853,,11111111_0000_2359
101855,186,101855,,11111111_0000_2359
101857,268,101857,,11111111_0000_2359
101860,190,101860,,11111111_0000_2359
101861,190,101861,,11111111_0000_2359
101862,190,101862,,11111111_0000_2359
101863,190,101863,,11111111_0000_2359
101870,226,101870,,11111111_0000_2359
101871,260,101871,,11111111_0000_2359
101873,229,101873,,11111111_0000_2359
101875,229,101875,,11111111_0000_2359
101877,190,101877,,11111111_0000_2359
101880,186,101880,,11111111_0000_2359
101881,190,101881,,11111111_0000_2359
101883,190,101883,,11111111_0000_2359
101893,190,101893,,11111111_0000_2359
101895,190,101895,,11111111_0000_2359
101897,268,101897,,11111111_0000_2359
101899,260,101899,,11111111_0000_2359
101903,268,101903,,11111111_0000_2359
101923,229,101923,,11111111_0000_2359
101925,190,101925,,11111111_0000_2359
101930,190,101930,,11111111_0000_2359
101933,190,101933,,11111111_0000_2359
101938,229,101938,,11111111_0000_2359
101942,260,101942,,11111111_0000_2359
101945,268,101945,,11111111_0000_2359
101950,190,101950,,11111111_0000_2359
101963,190,101963,,11111111_0000_2359
101972,190,101972,,11111111_0000_2359
101973,190,101973,,11111111_0000_2359
101974,190,101974,,11111111_0000_2359
101976,229,101976,,11111111_0000_2359
101991,188,101991,,11111111_0000_2359
101999,226,101999,,11111111_0000_2359
102012,190,102012,,11111111_0000_2359
102014,190,102014,,11111111_0000_2359
103566,190,103566,,11111111_0000_2359
103569,190,103569,,11111111_0000_2359
103580,188,103580,,11111111_0000_2359
103697,190,103697,,11111111_0000_2359
103803,190,103803,,11111111_0000_2359
103804,190,103804,,11111111_0000_2359
103810,268,103810,,11111111_0000_2359
103811,188,103811,,11111111_0000_2359
103812,188,103812,,11111111_0000_2359
103815,186,103815,,11111111_0000_2359
103816,188,103816,,11111111_0000_2359
103825,226,103825,,11111111_0000_2359
104020,190,104020,,11111111_0000_2359
104308,190,104308,,11111111_0000_2359
104313,190,104313,,11111111_0000_2359
104317,190,104317,,11111111_0000_2359
104373,190,104373,,11111111_0000_2359
104408,190,104408,,11111111_0000_2359
104445,130,104445,,11111111_0000_2359
